Designator,Footprint,Quantity,Value,LCSC Part #
"J201, J202, J203",PinHeader_2x04_P2.54mm_Vertical,3,Conn_02x04_Odd_Even,
"U101, U102, U103, U104",CA56-12EWA,4,CA56-12EWA,
