Designator,Mid X,Mid Y,Rotation,Layer
C101,113.75,-73.25,0.0,top
C103,107.0,-69.0,0.0,top
J101,112.35,-60.0,270.0,top
J102,129.74,-43.883,0.0,top
J103,150.4,-80.0,90.0,top
J104,112.35,-51.5,270.0,top
JP102,140.0,-54.29,0.0,top
JP103,144.0,-54.29,0.0,top
Q101,129.5,-58.25,0.0,top
Q102,129.5,-52.75,0.0,top
R101,134.0,-58.3375,270.0,top
R102,124.0,-58.75,90.0,top
R103,134.0,-52.8375,270.0,top
R104,124.0,-54.5,270.0,top
U101,112.25,-78.945,180.0,top
