Designator,Mid X,Mid Y,Rotation,Layer
U106_6,213.741,-156.845,90.0,top
U106_5,51.181,-156.845,90.0,top
U106_4,213.741,-90.805,90.0,top
U106_3,132.461,-24.765,90.0,top
U106_2,213.741,-222.885,90.0,top
U106,132.461,-90.805,90.0,top
U107_12,71.501,-24.765,90.0,top
U107_11,152.781,-222.885,90.0,top
U107_10,152.781,-156.845,90.0,top
U107_9,71.501,-90.805,90.0,top
U107_8,71.501,-156.845,90.0,top
U107_7,234.061,-222.885,90.0,top
U107_6,71.501,-222.885,90.0,top
U107_5,234.061,-90.805,90.0,top
U107_4,234.061,-24.765,90.0,top
U107_3,152.781,-24.765,90.0,top
U107_2,234.061,-156.845,90.0,top
U107,152.781,-90.805,90.0,top
U108_12,91.821,-41.275,90.0,top
U108_11,10.541,-239.395,90.0,top
U108_10,91.821,-173.355,90.0,top
U108_9,173.101,-239.395,90.0,top
U108_8,173.101,-173.355,90.0,top
U108_7,173.101,-41.275,90.0,top
U108_6,91.821,-239.395,90.0,top
U108_5,10.541,-173.355,90.0,top
U108_4,10.541,-107.315,90.0,top
U108_3,173.101,-107.315,90.0,top
U108_2,91.821,-107.315,90.0,top
U108,10.541,-41.275,90.0,top
U109_12,112.141,-41.275,90.0,top
U109_11,30.861,-41.275,90.0,top
U109_10,193.421,-107.315,90.0,top
U109_9,193.421,-173.355,90.0,top
U109_8,193.421,-41.275,90.0,top
U109_7,30.861,-173.355,90.0,top
U109_6,112.141,-239.395,90.0,top
U109_5,193.421,-239.395,90.0,top
U109_4,30.861,-107.315,90.0,top
U109_3,112.141,-173.355,90.0,top
U109_2,112.141,-107.315,90.0,top
U109,30.861,-239.395,90.0,top
U110_12,132.461,-239.395,90.0,top
U110_11,132.461,-41.275,90.0,top
U110_10,213.741,-239.395,90.0,top
U110_9,213.741,-41.275,90.0,top
U110_8,213.741,-107.315,90.0,top
U110_7,51.181,-173.355,90.0,top
U110_6,51.181,-107.315,90.0,top
U110_5,51.181,-41.275,90.0,top
U110_4,132.461,-107.315,90.0,top
U110_3,51.181,-239.395,90.0,top
U110_2,213.741,-173.355,90.0,top
U110,132.461,-173.355,90.0,top
U111_12,234.061,-107.315,90.0,top
U111_11,71.501,-41.275,90.0,top
U111_10,152.781,-173.355,90.0,top
U111_9,234.061,-173.355,90.0,top
U111_8,71.501,-107.315,90.0,top
U111_7,234.061,-239.395,90.0,top
U111_6,234.061,-41.275,90.0,top
U111_5,152.781,-41.275,90.0,top
U111_4,152.781,-107.315,90.0,top
U111_3,71.501,-239.395,90.0,top
U111_2,71.501,-173.355,90.0,top
U111,152.781,-239.395,90.0,top
U112_12,10.541,-255.905,90.0,top
U112_11,10.541,-189.865,90.0,top
U112_10,91.821,-255.905,90.0,top
U112_9,91.821,-57.785,90.0,top
U112_8,10.541,-123.825,90.0,top
U112_7,10.541,-57.785,90.0,top
U112_6,173.101,-123.825,90.0,top
U112_5,173.101,-57.785,90.0,top
U112_4,91.821,-189.865,90.0,top
U112_3,91.821,-123.825,90.0,top
U112_2,173.101,-255.905,90.0,top
U112,173.101,-189.865,90.0,top
U113_12,30.861,-189.865,90.0,top
U113_11,112.141,-189.865,90.0,top
U113_10,112.141,-123.825,90.0,top
U113_9,30.861,-123.825,90.0,top
U113_8,112.141,-57.785,90.0,top
U113_7,193.421,-57.785,90.0,top
U113_6,193.421,-189.865,90.0,top
U113_5,193.421,-123.825,90.0,top
U113_4,193.421,-255.905,90.0,top
U113_3,30.861,-57.785,90.0,top
U113_2,112.141,-255.905,90.0,top
U113,30.861,-255.905,90.0,top
U114_12,213.741,-123.825,90.0,top
U114_11,213.741,-255.905,90.0,top
U114_10,132.461,-123.825,90.0,top
U114_9,132.461,-255.905,90.0,top
U114_8,51.181,-123.825,90.0,top
U114_7,132.461,-189.865,90.0,top
U114_6,51.181,-57.785,90.0,top
U114_5,51.181,-189.865,90.0,top
U114_4,51.181,-255.905,90.0,top
U114_3,132.461,-57.785,90.0,top
U114_2,213.741,-189.865,90.0,top
U114,213.741,-57.785,90.0,top
U115_12,152.781,-255.905,90.0,top
U115_11,234.061,-255.905,90.0,top
U115_10,152.781,-123.825,90.0,top
U115_9,234.061,-123.825,90.0,top
U115_8,234.061,-57.785,90.0,top
U115_7,152.781,-57.785,90.0,top
U115_6,71.501,-123.825,90.0,top
U115_5,71.501,-255.905,90.0,top
U115_4,71.501,-189.865,90.0,top
U115_3,71.501,-57.785,90.0,top
U115_2,152.781,-189.865,90.0,top
U115,234.061,-189.865,90.0,top
