Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C101,22uF,CP_EIA-3528-21_Kemet-B,116.9875,-87.9,0.0,bottom
C103,22uF 25V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,116.75,-83.8,0.0,bottom
C104,22uF 6V,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,111.55,-83.7,180.0,bottom
C105,22uF,CP_EIA-3528-21_Kemet-B,111.45,-87.9,180.0,bottom
C106,4700pF (472),C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,147.45,-90.6,180.0,bottom
C107,1uF,C_0805_2012Metric_Pad1.18x1.45mm_HandSolder,139.65,-73.9,0.0,bottom
F101,Polyfuse 4A,Fuse_2920_7451Metric_Pad2.10x5.45mm_HandSolder,129.55,-64.9,90.0,bottom
J101,USB_C_Receptacle_USB2.0_16P,USB_C_Receptacle_G-Switch_GT-USB-7010ASV,138.65,-88.15,0.0,top
R101,1kR,R_1210_3225Metric_Pad1.30x2.65mm_HandSolder,122.45,-63.5,180.0,bottom
R102,10kR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,134.05,-76.9,270.0,bottom
R103,1MR,R_0805_2012Metric_Pad1.20x1.40mm_HandSolder,147.35,-87.1,180.0,bottom
U101,K7805M-2000,TO-220-3_Vertical,113.35,-72.9,180.0,top
U102,CH224K,SSOP-10-1EP_3.9x4.9mm_P1mm_EP2.1x3.3mm,139.55,-77.9625,0.0,bottom
