Designator,Footprint,Quantity,Value,LCSC Part #
C103,0603,1,22uF,
"C106, C107",0603,2,0.1uF,
"D102, D103",D_SOD-123,2,1N4148W,
"J114, J115",JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,2,+5V,
"J116, J117",PinHeader_2x03_P2.54mm_Vertical,2,Conn_02x03_Odd_Even,
"J118, J121",JST_XH_B2B-XH-AM_1x02_P2.50mm_Vertical,2,I2C,
"R124, R125, R126, R127, R128, R129",0603,6,39kR,
"U100, U101, U102, U103, U104, U105, U106, U107, U108, U109, U110, U111, U112, U113, U114, U115",YH-2E20402-12P,16,YH-2E20402-IK,
"U116, U117",SSOP-28_3.9x9.9mm_P0.635mm,2,HT16K33-28-SSOPA,
