Designator,Mid X,Mid Y,Rotation,Layer
U106_6,213.487,-156.845,90.0,top
U106_5,50.927,-156.845,90.0,top
U106_4,213.487,-90.805,90.0,top
U106_3,132.207,-24.765,90.0,top
U106_2,213.487,-222.885,90.0,top
U106,132.207,-90.805,90.0,top
U107_12,71.247,-24.765,90.0,top
U107_11,152.527,-222.885,90.0,top
U107_10,152.527,-156.845,90.0,top
U107_9,71.247,-90.805,90.0,top
U107_8,71.247,-156.845,90.0,top
U107_7,233.807,-222.885,90.0,top
U107_6,71.247,-222.885,90.0,top
U107_5,233.807,-90.805,90.0,top
U107_4,233.807,-24.765,90.0,top
U107_3,152.527,-24.765,90.0,top
U107_2,233.807,-156.845,90.0,top
U107,152.527,-90.805,90.0,top
U108_12,91.567,-41.275,90.0,top
U108_11,10.287,-239.395,90.0,top
U108_10,91.567,-173.355,90.0,top
U108_9,172.847,-239.395,90.0,top
U108_8,172.847,-173.355,90.0,top
U108_7,172.847,-41.275,90.0,top
U108_6,91.567,-239.395,90.0,top
U108_5,10.287,-173.355,90.0,top
U108_4,10.287,-107.315,90.0,top
U108_3,172.847,-107.315,90.0,top
U108_2,91.567,-107.315,90.0,top
U108,10.287,-41.275,90.0,top
U109_12,111.887,-41.275,90.0,top
U109_11,30.607,-41.275,90.0,top
U109_10,193.167,-107.315,90.0,top
U109_9,193.167,-173.355,90.0,top
U109_8,193.167,-41.275,90.0,top
U109_7,30.607,-173.355,90.0,top
U109_6,111.887,-239.395,90.0,top
U109_5,193.167,-239.395,90.0,top
U109_4,30.607,-107.315,90.0,top
U109_3,111.887,-173.355,90.0,top
U109_2,111.887,-107.315,90.0,top
U109,30.607,-239.395,90.0,top
U110_12,132.207,-239.395,90.0,top
U110_11,132.207,-41.275,90.0,top
U110_10,213.487,-239.395,90.0,top
U110_9,213.487,-41.275,90.0,top
U110_8,213.487,-107.315,90.0,top
U110_7,50.927,-173.355,90.0,top
U110_6,50.927,-107.315,90.0,top
U110_5,50.927,-41.275,90.0,top
U110_4,132.207,-107.315,90.0,top
U110_3,50.927,-239.395,90.0,top
U110_2,213.487,-173.355,90.0,top
U110,132.207,-173.355,90.0,top
U111_12,233.807,-107.315,90.0,top
U111_11,71.247,-41.275,90.0,top
U111_10,152.527,-173.355,90.0,top
U111_9,233.807,-173.355,90.0,top
U111_8,71.247,-107.315,90.0,top
U111_7,233.807,-239.395,90.0,top
U111_6,233.807,-41.275,90.0,top
U111_5,152.527,-41.275,90.0,top
U111_4,152.527,-107.315,90.0,top
U111_3,71.247,-239.395,90.0,top
U111_2,71.247,-173.355,90.0,top
U111,152.527,-239.395,90.0,top
U112_12,10.287,-255.905,90.0,top
U112_11,10.287,-189.865,90.0,top
U112_10,91.567,-255.905,90.0,top
U112_9,91.567,-57.785,90.0,top
U112_8,10.287,-123.825,90.0,top
U112_7,10.287,-57.785,90.0,top
U112_6,172.847,-123.825,90.0,top
U112_5,172.847,-57.785,90.0,top
U112_4,91.567,-189.865,90.0,top
U112_3,91.567,-123.825,90.0,top
U112_2,172.847,-255.905,90.0,top
U112,172.847,-189.865,90.0,top
U113_12,30.607,-189.865,90.0,top
U113_11,111.887,-189.865,90.0,top
U113_10,111.887,-123.825,90.0,top
U113_9,30.607,-123.825,90.0,top
U113_8,111.887,-57.785,90.0,top
U113_7,193.167,-57.785,90.0,top
U113_6,193.167,-189.865,90.0,top
U113_5,193.167,-123.825,90.0,top
U113_4,193.167,-255.905,90.0,top
U113_3,30.607,-57.785,90.0,top
U113_2,111.887,-255.905,90.0,top
U113,30.607,-255.905,90.0,top
U114_12,213.487,-123.825,90.0,top
U114_11,213.487,-255.905,90.0,top
U114_10,132.207,-123.825,90.0,top
U114_9,132.207,-255.905,90.0,top
U114_8,50.927,-123.825,90.0,top
U114_7,132.207,-189.865,90.0,top
U114_6,50.927,-57.785,90.0,top
U114_5,50.927,-189.865,90.0,top
U114_4,50.927,-255.905,90.0,top
U114_3,132.207,-57.785,90.0,top
U114_2,213.487,-189.865,90.0,top
U114,213.487,-57.785,90.0,top
U115_12,152.527,-255.905,90.0,top
U115_11,233.807,-255.905,90.0,top
U115_10,152.527,-123.825,90.0,top
U115_9,233.807,-123.825,90.0,top
U115_8,233.807,-57.785,90.0,top
U115_7,152.527,-57.785,90.0,top
U115_6,71.247,-123.825,90.0,top
U115_5,71.247,-255.905,90.0,top
U115_4,71.247,-189.865,90.0,top
U115_3,71.247,-57.785,90.0,top
U115_2,152.527,-189.865,90.0,top
U115,233.807,-189.865,90.0,top
