Designator,Footprint,Quantity,Value,LCSC Part #
"J100, J101, J102, J103, J104, J105",PinHeader_2x04_P2.54mm_Vertical,6,Conn_02x04_Odd_Even,
"U100, U101, U102, U103, U104, U105, U106, U107, U108, U109, U110, U111, U112, U113, U114, U115",YH-2E20402-12P,16,YH-2E20402-IK,
